ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
72555042,50플러스센터교육,모집예정,[맞춤형일자리]청연 청소매니저 양성 2기,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-02,2026-05-26,2026-06-02,,9,20,55014686,직업역량강화,FREE_CONFIRM,무료,,,0,0원,2026-06-23,2026-06-23,강동센터,,청연 청소매니저 강사,2026년 강동 봄학기(3~6월),0,20,https://www.50plus.or.kr/education-detail.do?id=72555042&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72555042&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73129058,50플러스센터교육,모집예정,[양천구지역복지사업단 보수교육] AI 비서 고용하고 '갓생' 살기,양천센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-28,2026-05-26,2026-05-28,,4,35,72790852,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-26,2026-06-26,양천센터,,조소라,2026년 양천 6월 교육과정,0,0,https://www.50plus.or.kr/education-detail.do?id=73129058&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73129058&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73128313,50플러스센터교육,모집예정,[양천구지역복지사업단 보수교육] 골든타임 생활안전교육 : 누구나 할 수 있는 생명 구하기,양천센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-28,2026-05-26,2026-05-28,,4,16,72790852,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-26,2026-06-26,양천센터,,김태현,2026년 양천 6월 교육과정,0,0,https://www.50plus.or.kr/education-detail.do?id=73128313&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73128313&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73128048,50플러스센터교육,모집예정,[양천구지역복지사업단 보수교육] 활력 충전! 스트레스 해소와 건강 관리,양천센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-28,2026-05-26,2026-05-28,,4,30,72790852,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-26,2026-06-26,양천센터,,이채영,2026년 양천 6월 교육과정,0,0,https://www.50plus.or.kr/education-detail.do?id=73128048&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73128048&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73127950,50플러스센터교육,모집예정,[양천구지역복지사업단 보수교육] 제미나이 AI 로 그리는 '진짜 나',양천센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-28,2026-05-26,2026-05-28,,4,35,72790852,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-25,2026-06-25,양천센터,,김선희,2026년 양천 6월 교육과정,0,0,https://www.50plus.or.kr/education-detail.do?id=73127950&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73127950&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
73123932,50플러스센터교육,모집예정,[양천구지역복지사업단 보수교육] 재무와 행복의 후반기 설계,양천센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-28,2026-05-26,2026-05-28,,4,32,72790852,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-25,2026-06-25,양천센터,,박원주,2026년 양천 6월 교육과정,0,0,https://www.50plus.or.kr/education-detail.do?id=73123932&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=73123932&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72848756,50플러스센터교육,모집예정,[채용설명회] 세스코 서비스어시스턴트 채용설명회,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-07,2026-05-26,2026-06-07,,14,20,55014686,직업역량강화,FREE_CONFIRM,무료,,,0,0원,2026-06-19,2026-06-19,강동센터,,세스코 인사담당자,2026년 강동 봄학기(3~6월),0,15,https://www.50plus.or.kr/education-detail.do?id=72848756&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72848756&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72846561,50플러스센터교육,모집예정,[창업설명회] 세븐일레븐 편의점 창업설명회,강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-06-07,2026-05-26,2026-06-07,,14,20,55014686,직업역량강화,FREE_CONFIRM,무료,,,0,0원,2026-06-16,2026-06-16,강동센터,,세븐일레븐 편의점 창업 사업부,2026년 강동 봄학기(3~6월),0,20,https://www.50plus.or.kr/education-detail.do?id=72846561&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72846561&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
71651156,50플러스센터교육,모집예정,"[커뮤니티 동행, 함께 빛나다] 손안의 영화와 함께하는 세상 쉬운 폰영화 만들기",서대문센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-06-01~2026-07-06,2026-06-01,2026-07-06,,43,10,71604009,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-07-07,2026-07-28,서대문센터,,정준호,2026년 서대문 3학기,0,10,https://www.50plus.or.kr/education-detail.do?id=71651156&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71651156&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
72856143,50플러스센터교육,모집예정,[한국지능정보사회진흥원 연계] 디지털 환경에서 관계 맺기(온라인소통),강동센터,CENTER_EDUCATION,50플러스센터 교육,PENDING,모집예정,LECTURE,교육회원,2026-05-26~2026-05-31,2026-05-26,2026-05-31,,7,12,55014700,인생설계,FREE_CONFIRM,무료,,,0,0원,2026-06-04,2026-06-11,강동센터,,김형범,2026년 강동 봄학기(3~6월),0,15,https://www.50plus.or.kr/education-detail.do?id=72856143&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72856143&viewCount=12&educationKind=centerEducation,2026-05-24T14:51:05
