ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
70720856,AI디지털교육,모집예정,[AI디지털교육] 유튜브 콘텐츠 제작 Ⅰ- 채널 개설하기,중부캠퍼스,AI_DIGITAL,AI디지털교육,PENDING,모집예정,LECTURE,교육회원,2026-08-18~2026-09-08,2026-08-18,2026-09-08,,44,20,70629838,디지털기본,CHARGED,유료,,,36000,36000원,2026-09-09,2026-09-30,중부캠퍼스,,지덕용,2026년 AI디지털교육,0,20,https://www.50plus.or.kr/education-detail.do?id=70720856&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=70720856&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:54
74938112,AI디지털교육,모집예정,[AI디지털교육] 유튜브 콘텐츠 제작 Ⅱ- 콘텐츠 업로드하기,중부캠퍼스,AI_DIGITAL,AI디지털교육,PENDING,모집예정,LECTURE,교육회원,2026-08-18~2026-10-06,2026-08-18,2026-10-06,,72,20,70629838,디지털기본,CHARGED,유료,,,24000,24000원,2026-10-07,2026-10-28,중부캠퍼스,,지덕용,2026년 AI디지털교육,0,20,https://www.50plus.or.kr/education-detail.do?id=74938112&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=74938112&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:54
74223944,AI디지털교육,모집예정,[AI디지털교육] 캔바를 활용한 홍보 콘텐츠 제작,중부캠퍼스,AI_DIGITAL,AI디지털교육,PENDING,모집예정,LECTURE,교육회원,2026-08-18~2026-09-04,2026-08-18,2026-09-04,,40,20,70629838,디지털기본,CHARGED,유료,,,24000,24000원,2026-09-07,2026-09-18,중부캠퍼스,,이혜정,2026년 AI디지털교육,0,5,https://www.50plus.or.kr/education-detail.do?id=74223944&viewCount=12&educationKind=aiDigital,https://www.50plus.or.kr/education-detail.do?id=74223944&viewCount=12&educationKind=aiDigital,2026-07-26T22:09:54
