ann_no,category,recruitment_status,title,provider,business_type_code,business_type_name,recruit_status_code,recruit_status_name,recruit_type_code,recruit_type_name,apply_period,apply_start,apply_end,selection_announcement,dday,recruit_count,occupation_code,occupation_name,work_condition_code,work_condition_name,career_code,career_name,fee_amount,fee_text,education_start,education_end,education_location,pre_edu_yn,lecturer,term,register_count,waiting_personnel,application_url,source_url,crawled_at
71409872,50플러스센터교육,모집중,"[특별기획 프로그램] 소리 없는 내 몸의 자객, 스트레스 관리 (화, 10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-15~2026-06-26,2026-05-15,2026-06-26,,30,20,69099966,일활동사업,CHARGED,유료,,,5000,5000원,2026-06-30,2026-06-30,성동센터,,한상희,2026년 성동봄학기(5월~6월),2,5,https://www.50plus.or.kr/education-detail.do?id=71409872&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71409872&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71705339,50플러스센터교육,모집중,"한 달이면 나도 대학입시 전문가 (수, 10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-15~2026-06-09,2026-05-15,2026-06-09,,13,15,69099942,노후지원사업,CHARGED,유료,,,50000,50000원,2026-06-10,2026-07-01,성동센터,,김성일,2026년 성동봄학기(5월~6월),5,5,https://www.50plus.or.kr/education-detail.do?id=71705339&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71705339&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72756212,50플러스센터교육,모집중,"책놀이지도사 양성과정 1차(화, 14:00-16:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-15~2026-06-08,2026-05-15,2026-06-08,,12,12,69099942,노후지원사업,CHARGED,유료,,,50000,50000원,2026-06-09,2026-06-30,성동센터,,김은화,2026년 성동봄학기(5월~6월),10,5,https://www.50plus.or.kr/education-detail.do?id=72756212&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72756212&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71569124,50플러스센터교육,모집중,"[특별기획프로그램] 일본어, 노래로 스며들다 (목,10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-04-15~2026-05-28,2026-04-15,2026-05-28,,1,13,69099942,노후지원사업,CHARGED,유료,,,5000,5000원,2026-05-28,2026-05-28,성동센터,,안휘중,2026년 성동봄학기(5월~6월),12,6,https://www.50plus.or.kr/education-detail.do?id=71569124&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71569124&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71450941,50플러스센터교육,모집중,"[직업지원교육] 디지털문해교육사 진로탐구 (목, 10:00-11:50)",성동센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-04-15~2026-05-27,2026-04-15,2026-05-27,,0,24,69099942,노후지원사업,FREE,무료,,,0,0원,2026-05-28,2026-05-28,성동센터,,정진경,2026년 성동봄학기(5월~6월),24,10,https://www.50plus.or.kr/education-detail.do?id=71450941&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71450941&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72707881,50플러스센터교육,모집중,"일상을 디자인하는 마법, 미리캔버스(월, 16:30~18:20)",성동센터,CENTER_EDUCATION,50플러스센터교육,WAITING,모집중,LECTURE,교육회원,2026-05-15~2026-06-01,2026-05-15,2026-06-01,,5,12,69099942,노후지원사업,CHARGED,유료,,,40000,40000원,2026-06-01,2026-06-22,성동센터,,정진경,2026년 성동봄학기(5월~6월),12,6,https://www.50plus.or.kr/education-detail.do?id=72707881&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72707881&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71549531,50플러스센터교육,모집중,[시니어 클래스] 신나는 라인댄스②,강서센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-04-20~2026-06-15,2026-04-20,2026-06-15,,19,20,69059668,인생설계,CHARGED_CONFIRM,유료,,,50000,50000원,2026-06-16,2026-08-06,강서센터,,전강미,2026년 강서 1학기,15,10,https://www.50plus.or.kr/education-detail.do?id=71549531&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71549531&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72998095,50플러스센터교육,모집중,전통주 소믈리에 양성과정,강서센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-22~2026-06-05,2026-05-22,2026-06-05,,9,20,40575090,전승활동교육프로그램(특강),FREE_CONFIRM,무료,,,0,0원,2026-06-12,2026-07-03,강서센터,,김정훈/오미정,문화재 전승공동체 프로젝트,0,10,https://www.50plus.or.kr/education-detail.do?id=72998095&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72998095&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71729217,50플러스센터교육,모집중,돌봄이 편해지는 치매예방 소통기술,강서센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-04-20~2026-06-07,2026-04-20,2026-06-07,,11,20,69059651,일활동지원,CHARGED,유료,,,20000,20000원,2026-06-09,2026-06-30,강서센터,,채원기,2026년 강서 1학기,9,15,https://www.50plus.or.kr/education-detail.do?id=71729217&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71729217&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
72962987,50플러스센터교육,모집중,국민연금공단 6월 특강 '저속 노화! 혈당관리부터',강서센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-05-18~2026-06-29,2026-05-18,2026-06-29,,33,20,69059668,인생설계,FREE,무료,,,0,0원,2026-06-29,2026-06-29,강서센터,,한상희,2026년 강서 1학기,8,10,https://www.50plus.or.kr/education-detail.do?id=72962987&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=72962987&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
71571075,50플러스센터교육,모집중,[시니어 클래스] 캐리커처 그리기(심화),강서센터,CENTER_EDUCATION,50플러스센터교육,OPEN,모집중,LECTURE,교육회원,2026-04-20~2026-07-21,2026-04-20,2026-07-21,,55,11,69059668,인생설계,CHARGED_CONFIRM,유료,,,35000,35000원,2026-07-22,2026-09-23,강서센터,,"하수형, 곽혜란",2026년 강서 1학기,0,12,https://www.50plus.or.kr/education-detail.do?id=71571075&viewCount=12&educationKind=centerEducation,https://www.50plus.or.kr/education-detail.do?id=71571075&viewCount=12&educationKind=centerEducation,2026-05-27T15:11:07
